[Time];[G1.X];[G1.Y];[G1.Z];[G2.X];[G2.Y];[G2.Z];[G3.X];[G3.Y];[G3.Z];[G4.X];[G4.Y];[G4.Z];[A1.X];[A1.Y];[A1.Z];[A2.X];[A2.Y];[A2.Z];[A3.X];[A3.Y];[A3.Z];[A4.X];[A4.Y];[A4.Z];[M1.X];[M1.Y];[M1.Z];[M2.X];[M2.Y];[M2.Z];[M3.X];[M3.Y];[M3.Z];[M4.X];[M4.Y];[M4.Z];[EMG1];[EMG2];[PULSEA];[PULSEB]
6.54;0.663767453;-1.213092241;-0.617990387;0.495918212;0.984206912;2.052338445;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.683665217;-0.230655375;-0.637399863;0.33136492;-0.085877775;-0.870313573;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.009613184;0.023956664;-0.304722667;0.088593881;-0.01669337;-0.017425803;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.916304265;2.872358282;2.475037766;2.475037766
6.56;1.060502022;-1.060502022;-0.862134737;0.40436408;1.014724956;2.25070573;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.678416114;-0.225284199;-0.640329595;0.325383383;-0.084901198;-0.871778439;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.010833906;0.024750134;-0.305577173;0.087495232;-0.015960937;-0.038056001;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.908979934;2.847943847;2.475037766;2.475037766
6.58;1.136797131;-0.846875715;-0.617990387;0.938429847;0.938429847;2.037079423;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.675242237;-0.228824292;-0.641916533;0.320256352;-0.085877775;-0.872877089;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.010040436;0.023224231;-0.305210956;0.087006943;-0.014251927;-0.022186618;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.880903334;2.840619516;2.475037766;2.475037766
6.6;0.389105058;-1.167315175;-0.755321584;0.846875715;1.319905394;1.899748226;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.670237278;-0.231021592;-0.639597162;0.317814908;-0.08892958;-0.877149615;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.009369039;0.024322881;-0.305821317;0.089692531;-0.013214313;-0.020050355;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.885786221;2.846723125;2.475037766;2.475037766
6.62;0.114442664;-1.548790723;-0.846875715;1.106279088;1.472495613;2.159151598;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.666819257;-0.230411231;-0.642771038;0.32074464;-0.086854353;-0.870069429;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.010833906;0.022674907;-0.305271992;0.088532845;-0.015106432;-0.016876478;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.895551995;2.834515908;2.475037766;2.475037766
6.64;-0.053406577;-1.564049744;-0.816357672;1.258869307;1.792935073;2.220187686;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.665354391;-0.230533303;-0.640085451;0.323796445;-0.091493095;-0.872632944;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.01107805;0.024078737;-0.305577173;0.087434196;-0.01528954;-0.016449226;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.900434882;2.862592508;2.475037766;2.475037766
6.66;0.236514839;-1.121538109;-0.663767453;1.533531701;2.143892577;2.311741817;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.674143587;-0.231387808;-0.633981842;0.324284733;-0.088685435;-0.874464027;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.010406653;0.022858015;-0.306004425;0.089143206;-0.015228504;-0.03042649;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.908979934;2.86381323;2.475037766;2.475037766
6.68;0.709544518;-0.633249409;-0.450141146;1.747158007;2.510109102;2.327000839;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.67316701;-0.231387808;-0.634103914;0.32855726;-0.089539941;-0.868604562;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.010833906;0.023285267;-0.305027848;0.088654917;-0.013153277;-0.025848783;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.89188983;2.84306096;2.475037766;2.475037766
6.7;0.938429847;-0.190737774;-0.434882124;1.747158007;2.677958343;2.159151598;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.675364309;-0.229312581;-0.629221027;0.333806363;-0.092225528;-0.873243305;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.009552148;0.024383917;-0.305394064;0.086152438;-0.013946746;-0.017975128;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.884565499;2.840619516;2.475037766;2.475037766
6.72;0.907911803;0.221255818;-0.495918212;1.915007248;2.510109102;1.976043336;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.680735485;-0.227847715;-0.631906615;0.337712673;-0.090272374;-0.869825284;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.009796292;0.023773556;-0.3054551;0.087922484;-0.01388571;-0.021087968;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.89921416;2.861371786;2.475037766;2.475037766
